"","job_title","company_name","job_location","job_description"
"1","Data Analyst","Forward Financing ","Boston, MA","This is a terrific opportunity for a highly self-motivated individual to join our team. At Forward Financing, our mission is to be the leading provider of financing solutions to under-served small businesses. As the 15th fastest growing company in US & #1 in Massachusetts (Inc 500), we are at the forefront of growth in the FinTech space. We are 100% dedicated to this vertical and to achieving our mission. As a Data Analyst, you will play an important role in harnessing the Company’s data and analytics to provide valuable insight and analysis that will be used to assess the strategic direction of Forward Financing. You will report to the Director of Strategy, Finance & Analytics, and collaborate frequently with the Senior Data Analyst & the rest of the Strategy, Finance & Analytics team. Forward Financing invests in our employees and their development. Your role in working on all strategic and financial initiatives will be critical to driving our mission forward.In this role you will: Assist in optimizing all processes related to the Company’s data; this includes the collection, assessment, management, analysis and presentation of data in a way that adds strategic value to the organization Develop an expertise in maintaining and navigating the Company’s internal databases (including Salesforce) Work within Tableau to develop customized dashboards and visual analysis for key stakeholders Work closely with various Departments to identify and outline specific data needs and requirements Research and assess potential third-party data sources for the Company to use Assist in the Company’s data science effortsAbout You: Analytical Horsepower: Solid quantitative skills, comfortable navigating a complex data-driven business environment Attention to Detail: Ability to focus on important, granular details that are integral to data projects Efficiency: Ability to produce significant output with minimal wasted effort Quick Study: Ability to quickly learn / absorb new information and concepts Communicator: Having the ability to articulate your work product and methodologies with a positive, up-beat attitude; strong writing and verbal communication skills A Doer: Willingness to roll up your sleeves, and perform all levels of analysis Coachability: Willingness to take constructive feedback and use it as a means to improve personal development High Energy: Being excited and thriving in a dynamic, fast-paced, and growing organization Requirements: BS/BA in Computer Science, Economics, Finance, Accounting or related fields of study Minimum of 1 year of related experience, ideally within Data Analysis, FP&A or Accounting Will consider strong candidates that are recent graduates of competitive undergraduate programs focused on related fields of study A belief in the core values and mission of Forward FinancingAbout Us: Forward Financing is a Boston-based financial technology company that provides fast, flexible, and reliable working capital to small and medium-size businesses nationwide. By combining proprietary technology with a team of small business financing experts, Forward Financing delivers same day funding with the speed and simplicity business owners need to succeed and grow. With a simple online application, businesses can trust Forward Financing for approvals within minutes, funding within hours, and personalized support and service when they need it most. Since 2012, Forward Financing has provided over $400m in funding to more than 10,000 small businesses. Consistently recognized as an industry leader, the company is A+ rated by the Better Business Bureau and receives top ratings across all major customer review platforms. In 2017 and 2018, Forward Financing was named by Inc. Magazine and the Boston Business Journal as one of the fastest growing companies in Massachusetts. Learn more at www.forwardfinancing.comCompensation: At Forward Financing, we believe that if our company succeeds, all of our employees succeed too. We offer a competitive compensation package for highly qualified candidates that are extremely motivated, have a positive attitude, and are able to ramp up quickly. We offer a comprehensive benefits package including medical, dental, vision and commuter benefits along with gym reimbursement, 401K, paid volunteering days and a matching gift program. We work in an open environment with a start-up vibe, conveniently located just steps away from South Station. You will have the opportunity to work with people that enjoy a fun, social office culture."
"2","Data Analyst","Hopper ","Cambridge, MA","About Hopper Hopper is the smart way to book travel on your phone. Combining massive amounts of data and advanced machine learning algorithms, Hopper predicts and analyzes airfare and accommodation to save users money and enable them to travel more often.  Since its launch in 2015, Hopper has become one of the fastest growing travel apps ever with over 25 million installs to date. It is now the most downloaded flights booking app in North America and travelers have booked hundreds of millions of dollars in flights and hotels around the world using Hopper.  The app has received accolades such as Fast Company's Most Innovative Company in Travel 2018, the Google Play Award for Standout Startup of 2016, and Apple's App Store Best of 2015. The Role Hopper was built on the premise that the combination of big data and machine learning could empower travelers to make booking decisions in a completely unprecedented way. At Hopper, every dataset tells a story. Do you have what it takes to decipher the clues? bit.ly/2q6U8dq  We're looking for a data-savvy individual to join our Data Science team as a Data Analyst, to create consumer-focused research content and support user-centric product development and growth based on our real-time feed of billions of flight search results along with an archive of several trillion data points.  You may be a great fit for our team if you are excited about exploring huge (and sometimes messy) data sets and finding effective ways to simplify and communicate the results to a non-technical audience. In this role you willLead analytical projects to support our Product and Growth teams. Deliver quantitative results, business understanding and strategic insights to help us make better data-driven decisions.Support our PR team by transforming complex analyses into short, compelling, and easy to understand studies to share with journalists aimed at a consumer audience.Design and implement ad hoc and automated analysis scripts, develop and deliver summary tables, charts and interactive tools to present your results.Work with key stakeholders across Hopper in a fast-paced, collaborative environment.A qualified candidate hasA degree in Math, Statistics, Computer Science, Engineering or other quantitative disciplineStrong analytical and creative problem-solving skillsProven ability to communicate complex technical work to a non-technical audienceEnthusiasm and curiosity for conducting research and answering hard questions with dataExposure to scripting with Pandas, R, SAS or other data preparation and analysis toolsExperience with relational databases and SQL would be an asset Sound like a fit? We can't wait to hear from you. BenefitsWell-funded and proven startup with larger ambitions, competitive salary and stock optionsDynamic and entrepreneurial team where pushing limits is everyday businessAccess to comprehensive medical, dental, vision, disability and life insurance, all on usIn Cambridge, work in a historic factory building near Kendall Square; in Montreal, work in an artist's loft in the Mile EndEasy commute with a paid-for public transportation or paid parkingIATA Travel Agent Card for discounts in the travel industryFully stocked kitchen with: coffee/tea, beer, bagels and healthy snacksTeam lunches, off-site activities and much more!"
"3","Strategy & Analytics Business Analyst","Cartesian ","Boston, MA","Category : Business Analyst  Location/City : MA - Boston  Job Type : Permanent  Id : 3362  Analysts are highly motivated, entrepreneurial, and intellectually curious problem-solvers. This position requires the ability to think analytically about complex processes, analyze data and build models, research new industries and technologies, develop actionable strategies, and communicate recommendations to internal and external clients in a fun, fast paced, driven environment.Responsibilities include:Work on consulting teams to help deliver strategy and analytics engagements for our clients by applying thoughtful research and analysis techniques to answer business questions Contribute to the development, execution, and management of analytics focused work streams by building, improving, and overseeing critical data processes Gather and process structured and unstructured data in a wide variety of formats (Excel, text, csv, databases, json, web scrape, etc.) from diverse sources to support project-related data needs Build quantitative models (e.g. predictive, geospatial, financial, etc.), merge and manipulate data, conduct statistical analyses, and design and test hypotheses Conduct market research and synthesize findings to build a fact base and tell compelling stories Create thoughtful data visualizations that communicate insights to both technical and non-technical stakeholders Develop and present findings and strategic recommendations to client stakeholdersDesired Skills and ExperienceRequirements:A passion for problem solving and working with data A desire to work both independently and in team settings Effective time management and organizational skills, and ability to proactively set priorities/objectives and execute against them A Bachelor's degree, preferably in Computer Science, Mathematics, Statistics, Physics, Economics, Business or another quantitative field 1-3 years of experience in an analytics-focused role A desire to work with and learn a range of new tools/languages, such as Tableau, Qlik, Alteryx, QGIS, Python, and R An interest in the communications industryKnowledge and/or experience in the following areas is a plus:Analysis, modeling and predictive modeling using Excel, SQL, R, SAS, or similar tools Data visualization (Tableau, Qlik, R, etc.) Geospatial analytics and mapping Amazon Web ServicesUnable to provide H1B Visa or green card sponsorship for this positionCartesian is a leading management consulting firm providing strategic and operational advisory services to global leaders in the communications, digital media, and technology industries. Cartesian has offices in Boston, London, Kansas City, Philadelphia, New York, Paris and Washington. For more information, please visit our websitewww.cartesian.com. Clients select Cartesian's strategy consulting services for our analytical rigor and in-depth understanding of their business challenges and strategic objectives, and our focus on crafting data-driven strategies for growth and transformation."
"4","Data Specialist","Wayfair ","Boston, MA","Job Description An Analytics Data Specialist combines a passion for data with the technical know-how to do things the right way. They combine a deep technical fluency with strong communication skills to productionize the data transformations and reporting that drives key business decisions across Wayfair’s multi-billion dollar business. They are hands on writing and owning robust, scalable code that produces thousands of core business metrics each day, deployed across a range of terabyte scale data warehouses. What You’ll DoBuild reporting products that drive business decisions across WayfairSupport business-oriented analysts in the design and implementation enterprise scale BI reportingExecute deep dives on data sets to understand their content and build trusted, accurate data productsOptimize performance of queries and data transformation processes by leveraging an understanding of data structures and algorithmsInvestigate and identify the root causes of data inaccuracyEnd to end ownership of data pipelines, including: business requirements elicitation, data model best practices, implementing changes in SQL, gaining DBA support, and backfill/conversion of existing dataWhat You AreCollaborative, approachable, and understanding; a team player who can work with individuals of varying technical aptitudeAttentive to detail and excited to be responsible for critical reportingAble to identify and succinctly summarize roadblocks, constraints, and trade-offs, propose potential solutions, and drive toward resolutionWhat You HaveProfessional work experience in a technology, start-up, data warehousing, or other analytical roleBachelors in computer science, engineering, economics, MIS, or other quantitative discipline with strong academic record"
"5","Data Science Analyst","Radius Bank ","Boston, MA","Return to Job List General Responsibilities:Reporting to the Decision Science Manager, the Data Science Analyst will be a key member of the organization supporting the development, design and execution of reporting and analytical solutions. Playing a critical role supporting improved insights into the acquisition of new customers and the behaviors of our existing customers, the successful candidate working closely with business stakeholders will demonstrate an ability to bridge the gap between technology, data, and analytics by supporting a long-term analytic strategy and managing an increasing demand for robust reporting and advanced analytics.Essential Duties:Mine and analyze data from company databases to drive optimization and improvement of acquisition marketing, fraud mitigation, retention and business strategiesDesign and build queries, reports, and dashboards using business intelligence tools adhering to established frameworks and standardsChampion a data-driven culture across the enterprise developing methods and controls to ensure consistent application and use of dataActively participate in and influence discussions around reporting requirements, infrastructure needs, and designAssess the effectiveness and accuracy of new data sources and data gathering techniquesDevelop custom data models and algorithms to apply to data setsUse predictive modeling to improve applicant conversions, optimize customer experiences and reduce fraud.Develop processes and tools to monitor and analyze model performance and data accuracyInterface directly with clients and project team members to understand the needs and objectives of the businessConsistently deliver high-quality business intelligence solutions and services to clients on scheduleBring structure to ambiguous business problems and recommend visualization solutions that can be easily interpreted by usersFollow, maintain and improve all documentation and procedures for report design and productionSponsor teamwork and encourage collaborationRequired Knowledge, Skills, and Abilities:Bachelor’s degree in Economics, Statistics, Computer Science, Information Technology, Business Analytics or related discipline. Advanced degree a plus.Minimum of 3-5 years of experience as a Business Intelligence Analyst, Data Analyst or Business Systems Analyst, in a dynamic business environment, with demonstrated reporting, analytical, and database experience.E-commerce or digital banking experience a strong plus.Key strengths include business and technical acumen, the ability to think broadly, create a shared vision, and embrace change as an opportunityOutstanding ability to clearly communicate data, context, and implications to business and technology stakeholdersAbility to think creatively, to deal with ambiguity, to manage changing priorities, and to drive initiatives to completion in a fast-paced, dynamic environmentSmart, self-starter who is intellectually curious, thoughtful, analytical, and has the highest ethical standardsStrong capacity to work with complex data and the ability to invent, design and build robust data & analytical solutionsExperience and proficiency with Tableau Desktop, Tableau Online and Tableau Prep is preferredExperience using SQL and statistical languages (R, Python, SAS, etc.) to manipulate data and draw insights from large data setsExperience visualizing/presenting data for stakeholders in a meaningful and readily accessible wayExperience working with and creating data architectures to support business data reporting and modelingExcellent verbal, written communication and presentation skillsPossess personal qualities of integrity, credibility and commitment to corporate missionCompetencies: Embraces and creates changeCustomer focusedIntegrity/trustResults and quality focusAttention to detailQuick learner and resourcefulAbility to multitask"
"6","Data Analyst","nference ","Cambridge, MA","PLEASE NOTE: RESUMES WITHOUT A COVER LETTER OR STATEMENT OF INTEREST WILL NOT BE CONSIDERED Requirements:Bachelor’s or master’s degree in biological science, physical science, computer science, mathematics, or engineeringExperience programming in Python and/or RDemonstrated understanding of biochemistry, molecular biology, and/or geneticsSuperior verbal, written, and interpersonal communication skillsTrack record of successfully managing multiple, concurrent projectsExcellent decision making, human relations, time-management and organizational skillsAbility to prioritize and meet deadlines in a fast-paced environmentResponsibilities:Advance internal research projects and industry collaborationsDevelop client-facing applications for nferX, nference’s knowledge synthesis platformProcess public and proprietary datasets for integration into nferXCreate case studies showcasing the nferX platform’s capabilities to clientsThe Company:Powered by its artificial intelligence software platform, the nference mission is to synthesize the world’s exponentially growing biomedical knowledge. nference is making biomedical knowledge computable, and building its AI platform to serve as the connective fabric for various silos of information that exist across health care enterprises. Founded by Murali Aravamudan and Venky Soundararajan, Ph.D., nference is led by a multidisciplinary team of serial entrepreneurs from the tech and biotech worlds and Ph.D’s in Biology/Genomics from Massachusetts Institute of Technology (MIT) and Harvard Medical School. The investors in nference are Matrix Partners and Matrix Capital Management.nference is conveniently located in Kendall Square, Cambridge – just steps away from the MBTA Red Line station. (www.nference.ai)Position includes competitive sick/vacation/holiday package, equity, health, dental and 401k plan. Please include salary requirements when applying for this position. Email response only. nference will only respond to candidates selected for further consideration. nference, inc. is an equal opportunity employer."
"7","Data Analyst","Facing History and Ourselves Inc ","Brookline, MA","Position: Data AnalystReports to:Director, Data ManagementLocation: Brookline, MAStatus: Full Time, ExemptStart: Immediately The Data Analyst serves as the primary producer of analytics for website and contact database metrics. Reporting to the Director of Data Management and working closely with the numerous stakeholders on both the Program and Development teams, the individual in this role is responsible for understanding our schema inside and out; understanding our existing data; understanding the universe of available data; and ultimately for turning data into reliable, trustworthy stories for all levels within the organization.Responsibilities:Reporting (50%):Produce reports on-demand for C-level, program, and development staffReactively and proactively provide analytics from Google AnalyticsRepresent reports visually using tools like Google Data Studio or othersBe innovative and at-times experimental about sharing data using various clever means to keep the stories interestingSummarize and translate analyticsTease out trends in the data that might not be immediately obviousWork with teams in each region to understand unique trends; facilitate sharing of best practices for data use across organizationKeep abreast of advances in analytics and data visualizationOccasionally attend relevant events, meetups, and conferencesBe forward-thinking - critical thinking about data is key!Data cleanup and maintenance (20%):Locate duplicates and assist in implementing means to prevent duplicationConstantly promote and apply best practices in data managementSpot check existing common reports and correct filtering or returned data errorsHelp identify and purge vestigial dataMeta-analysis and improvements (20%):Become deeply familiar with the data structures and mechanisms at Facing HistoryRecognize data that is unnecessary or not actionable and develop strategies to eliminate itAssist in creation and maintenance of systems maps and schemaIdentify areas for improvement in data storage and analysisCross-train teammates and be transparent with expertiseIdentify data conflicts and misalignment and coordinate with the team on plans for improving data qualityIdentify redundanciesPerform other related duties as required by position (10%)Qualifications:3-5 years of experience required in analyticsGoogle Analytics experience requiredSalesforce experience strongly preferred but not requiredEU privacy compliance law (GDPR) understanding preferred but not requiredGoogle Data Studio experience a plusHubSpot experience a plusSkills/Attributes:Qualified candidate must be:Very detail-oriented with a focus on accuracy; this cannot be overstated for someone in an analyst roleA strong communicator, both written and oral, and be comfortable with phone outreach on occasionComfortable both producing and interpreting dataAble to work collaboratively and at the same time be able to work independently for long periods of timeResponsive and respectful to all requests but pragmatic around prioritiesFlexible and agile in approach as needs change and evolveWilling to experiment with and learn new technologies, and to share best practices"
"8","Data Engineer","Cota ","Boston, MA","POSITION: DATA ENGINEEROVERVIEW Cota is looking for a Data Engineer to help us architect how we ingest, store, and query data across the Cota platform. Youll be making pivotal decisions on how we manage our data at scale, and how we make it available to multiple engineers and analysts across the organization. Additionally, you will be an individual contributor following through on those design decisions. Our data is primarily medical data, so any experience with EMR systems and other HIPAA practices will be a strong plus. Over time, we expect you to become an expert on the data model and be able to translate requests from other departments into specific data queries/reports. Our ideal candidate will have experience managing multiple streams of data, and have strong experience and opinions on the ETL process we should follow, where to use relational databases, where to use services like BigQuery/Redshift, and ElasticSearch.ABOUT ENGINEERING AT COTA We help others make and understand connections in a complex web of data. On one end of the spectrum, we ingest large amounts of heterogeneous data, ranging from multi-GB exports from large data providers to individual facts extracted by abstractors from scanned paper records. On the other end of the spectrum, we serve information derived from the process data to consumers like doctors and other healthcare decision makers who draw meaningful conclusions about the current state of their patients. As an engineering team, we build robust scalable platforms and products that help further the business. Being data-driven, and entering the realm of Fast Data, we solve interesting technical challenges on a daily basis. This is an opportunity to join a company embracing a modern Technology culture, where you will be able to impact many lives and have a major impact on COTAs offerings.RESPONSIBILITIES Develop and maintain various data ETL processes and the data warehouse Implement quality monitoring to report on the accuracy and relevancy of processed data Support data analytics requests for bespoke reports and data exports Understand the available architectures and technologies, assess the available options Catalog our overall schema design and reference data As part of a team, own data-centric processes, develop alerts for errors and service issues, and respond to alerts Contribute, shape, improve the way we use and manage infrastructure Perform specialized data investigations to support analytics and custom reporting scenarios Participate in code reviews with a goal of understanding the overall data pipeline and ensuring data qualityREQUIREMENTS Holds a Bachelors degree in Computer Science, Information Systems, or related major, or equivalent work experience Able to write well-documented, reusable, and testable code Strong working knowledge of Postgres or other relational databases Ability to write complex SQL queries for ETL or reporting Experience with R or Pandas a plus Proficiency in distributed version control systems such as git or mercurial (we use git). Proficiency working as part of an Agile development team Experience with workflow/scheduling frameworks a plus. Design experience a plus Ability to interact and communicate effectively with colleagues on requirements and set expectations accordingly Ability to work independently as well as with a team Excellent written and oral communications Energetic and self-starting At Cota, we are passionate about creating an inclusive workplace that celebrates and values diversity with the belief that it drives our innovation. Our commitment to diversity and inclusion is a guiding principle on how we build teams and develop leaders. As part of our commitment to building a respectful culture that encourages, develops and celebrates different backgrounds, experiences, abilities and perspectives all qualified applicants will receive consideration for employment without regard to race, color, religion, culture, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status or other applicable legally protected characteristics. All employment decisions, including decisions to hire and promote, will be based on merit, competence, business need and performance.  We are a proud equal opportunity employer."
"9","Database Systems Analyst","Safety Insurance Group Inc ","Boston, MA","Job Summary:DBA expert to provide development and support for the iSeries DB2, DataStage ETL, Netezza/MiniMako Data Warehouse, Cognos/Qlik and Microsoft SQL Server environments. This individual will be required to perform data modeling of the current environment, and review and model new objects as they are introduced. Also, responsible for developing and optimizing database structure to increase performance.Duties:Design and development of SQL based ETL tasks for migrating data from a source system to a target destination systemDesign and development of SQL databases, stored procedures, queries and performance tuning.Work with and support Netezza/Mini Mako user community in a variety of support and development roles.Develop logical and physical data models, and define database standards.Understanding of Data Warehouse, star schema and dimension fact data model.Support development groups regarding database tasks.Must be able to display effective relational and communications skills to effectively interact with business units and interpret business needs.Ability to run queries, analyze data, and present results in a clear and concise format.Investigate and analyze new technologies, hardware, and software and make recommendations on alternatives for new business systems.Qualifications:Bachelor’s Degree in Computer Science, Software Engineering or Information Systems.Strong knowledge and experience with reporting packages Cognos, Qlik and Nprinting.Strong knowledge and experience SQL and DB2.Strong knowledge and experience with programming ETL framework DataStage.Strong knowledge and understanding of stored procedures, schema, indexes, triggers and user defined functions.Experience supporting web applications through ODBC and Linux.Experience working with Functional Subject Matter Experts to understand the requirements and update the data model accordingly.Business/data analyst background and project management experience is desirable.Excellent communication skills.Adept at queries, report writing and presenting findings.Strong analytical skills with the ability to collect, organize, analyze and disseminate significant amounts of information with attention to detail and accuracy.3+ years analysis, design, coding, testing, debugging and documenting database applications.3+ years of hands on experience with Netezza/Mini Mako hardware as well as ETL.3+ years of UNIX/Linux OS experience.3+ years performance tuning databases.Strong knowledge of Microsoft Office applications (Excel, Word, PowerPoint, Project, Visio)."
"10","Business Intelligence Analyst","Wayfair ","Boston, MA","Wayfair Analytics is the engine that powers an enterprise obsessed with data. We move fast, iterating quickly on big business problems. We work smart, applying technology to unlock insights and provide outsized value to our customers. We swing big, knowing our customers won’t benefit from micro optimizations. Leveraging the largest data set for products sold in the Home space, this team treats data as an asset and determines how to maximize its business value and extend our competitive advantage.  At their core, Business Intelligence Analysts at Wayfair are strong in quantitative analysis, enjoy coding but also want to balance that with their interest in business. They think critically to tackle complex challenges, thrive in a fast-paced environment and are seeking a high-growth opportunity where they will have an immediate impact on day one. There are significant opportunities for new team members to emerge as leaders, taking on additional projects and responsibilities with strong performance.  Each analyst is aligned with a line of business either focused on Marketing, Merchandising, Operations, Finance, Sales + Service or our core website. Whether you’re analyzing customer behavior and trends, developing new recommendations, or constructing SQL queries, you will be working with cutting edge technology and multi-terabyte datasets. What You’ll DoCollaborate with leaders of functional areas (e.g., Marketing, Operations, Storefront web, Finance, Sales + Service) to identify the most impactful ways for data and analytics to drive decision making and accelerate profitable growth.Comprehend, extract, and massage information from multi-terabyte data sources including sales, clickstream, logistics, product, and customer databases to deliver business insights and recommendations.Design and build solutions to empower stakeholders across Wayfair to self-serve analytical needs.Become the subject matter expert for data, analytics, and testing within a business unit to ensure accurate and proper interpretation of core business metrics and consumer behavior.Perform deep-dive analysis, including the application of advanced analytical techniques, to solve some of the more critical and complex business problems including website funnel progression, customer segmentation and targeting, and supply chain optimization.Develop data visualizations, including reports, dashboards, and analyses in Tableau to distribute data insights in an easily digestible manner to over 5000 global employees.What You HaveHands-on experience conducting quantitative analyses on large data setsCoursework or experience with SQL or other structured programming language(s) (e.g. Python, Java, C); Experience with Excel (pivot tables, vlookup, etc. ) and Tableau a plus.Analytical, creative, and innovative approach to solving problems.Strong written and verbal communication.Bachelors or Masters in Computer Science, Computer Engineering, Analytics, Mathematics, Statistics, Information Systems, Economics, or other quantitative discipline field with strong academic record. We offer a fun, dynamic, and diverse work environment where casual dress is encouraged and corner offices—or any offices—are nowhere to be found. Everyone is a hands-on contributor and empowered to take smart risks, embrace ownership, and take every opportunity to grow personally and professionally."
