"","job_title","company_name","job_location","job_description"
"1","Data Management Analyst","Transunion ","Cherry Hill, NJ","“The limit of our growth is going to be our imagination and product ideas – not technology.” – Mohit Kapoor, CTOWhat we’ll bring:A welcoming and energetic environment that encourages collaboration and innovation. We consistently explore new technologies and tools to be agile.Flexible time off, workplace flexibility, an environment that welcomes continued professional growth through support of tuition reimbursement, conferences and seminars.Our culture encourages our people to hone current skills and build new capabilities, while discovering their genius.A collaborative environment that values the pursuit of excellence, acting with integrity, being innovative, active participation, building partnerships and taking pride in the work being done.What you’ll bring:1 year experience or college credits related to data ingestion, analysis, integration, design and governance.1 year experience or college credits related to concepts, data design techniques, ETL platforms, Enterprise Visualization software.Ability to facilitate and manage multiple open work streams concurrently.Ability to handle large volumes and variations of data, analyze, investigate and provide insight. Basic conceptual concepts of SQL.Solid computer science fundamentals (algorithms, data structures and programming skills).Ability to translate technical concepts to high level business stakeholders.We’d love to see:Experience providing stable and reliable big data solutions.Experience with Ab Initio.Familiarity with test driven development, continuous integration and release management.Self-motivated, independent thinking, collaborative team player.Strong analytical skills. Agile Methodology.Impact you’ll make: Analyze variously formatted public records and vendor data for value and integration into the product platform.Develop reports and KPI metrics for weekly, and monthly management meetings.Document business requirement enhancements for ETL configurations for developers and production partners for technical implementation of data products.Prepare and present analysis results to our various business partner stakeholders.Assist in development and expansion of various data quality programs and initiative.Facilitate weekly stakeholder meeting. Provide updates on operational issues including missing data, ETL loading, web crawlers, and automated data retrieval.#DICE#LI-EP1We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability status, veteran status, marital status, citizenship status, sexual orientation, gender identity or any other characteristic protected by law."
"2","Data Analyst","Agilent Technologies ","Wilmington, DE","Agilent inspires and supports discoveries that advance the quality of life. We provide life science, diagnostic and applied market laboratories worldwide with instruments, services, consumables, applications and expertise. Agilent enables customers to gain the answers and insights they seek ---- so they can do what they do best: improve the world around us. Information about Agilent is available at www.agilent.com.  Agilent Technologies creates measurement solutions that make the world a better place to live!  This position will support the Services and Support Global Operations Analytics team. You will be working with a team of Data Scientists, Data Engineers and Analysts to deliver analytics to global teams. Our team delivers trusted answers and analytical insights through consultative engagements with the business. Our analytics are used to drive profitable growth, customer intimacy and operational excellence for Agilent's growing Services Organization.  The job role includes using SAP HANA and data visualization software to insure accurate data in the ERP system. You will gain a deep understanding of Agilent data and business processes, provide insight to our business stakeholders and drive a culture of data fluency in the organization. Key Responsibilities:Working with a variety of people in different business functions.In depth data analysis to create actionable insights to business opportunities.Related tasks include data mining, generating analytics, performing data validation, and resolving data issues or discrepancies, managing projects, supporting analytics products and developing training material.Innovation and personal growth along with being a team player, working globally.Essentials:Strong analytical and logical skills.Effective communication skills, ability to work independently and as a team member in a global setting.Ability to focus on details, organize and follow thru.Bachelor or master's degree in Engineering, Computer Science, Finance, Mathematics, or Statistics or equivalent education/experienceStrong analytical and logical skills.Experience with data visualization software. (SAP Lumera, Qlik, Spotfire, Tableau)Experience with programming languages 'R', Python, or SQL.Strong communication skills, ability to work independently and as a team member in a global setting.Ability to focus on details, organize and follow thru.Ability to create training material and documentation Agilent Technologies, Inc. is an Equal Employment Opportunity and Affirmative Action employer. We value diversity at all levels. All individuals, regardless of personal characteristics, are encouraged to apply. All qualified applicants will receive consideration for employment without regard to sex, pregnancy, race, religion or religious creed, color, gender, gender identity, gender expression, national origin, ancestry, physical or mental disability, medical condition, genetic information, marital status, registered domestic partner status, age, sexual orientation, military or veteran status, protected veteran status, or any other basis protected by federal, state, local law, ordinance, or regulation and will not be discriminated against on these bases.  For more information about equal employment opportunity protections, please view the 'EEO is the Law' poster available here:  https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf,  https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf  Agilent Technologies, Inc., is committed to diversity in the workplace and strives to support candidates with disabilities. If you have a disability and need assistance with any part of the application or interview process or have questions about workplace accessibility, please contact +1-262-754-5030 (US and Canada only) or email job_posting@agilent.com. EOE AA M/F/Vet/Disability  Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled"
"3","Data Analyst","Ascensus ","Dresher, PA","Position Summary As a Data Analyst at Ascensus, you will conduct data analysis to support data scientist studies through a broad spectrum of data mining responsibilities such as data interpretation, quality validation, trend computations and metric and categorical derivations. Additionally, you will manage and expand the data sources available for analytics using primarily Microsoft DBA skills including SSIS, SQL and BCP. The position will also support business awareness of analytic results delivering reports and visualizations with available reporting and business intelligence tools. May fulfill other duties in support of overflow needs of EIM team. Job Functions, Essential Duties and ResponsibilitiesData Analysis Validate that data sources meet requirements of the effort and outcomesAnalyze data quality identifying improvements and solutions for data gapsDevelop a deep understanding and working knowledge of all Ascensus data sources; their purpose, structure, definitions and how they are populatedEffectively execute data preparation responsibilities in the CRISP-DM methodology at the direction of the Data Scientist or project leadPerform data segmentation, review and reporting of expansive data sourcesPerform data and model monitoring and charting for scheduled ongoing jobsAdhere to and recommend improvements to data governanceReporting thru BI Utilization Build and deliver analytics findings, machine learning updates and results to business in a consumable and efficient manner using BI and other available toolsDevelop well rounded knowledge of Ascensus business intelligence to direct users on available BI resourcesData Management Create and maintain analytics data source(s) documentation including current and future stateETL design and documentation specific to managing data sources for analyticsDesign, code, tune and modify analytics data source ETL solutionsApply standards and best practices for implementing Ascensus ETL tools in support of Ascensus design guidelines and collaboratively with the Data scientists, DBA leadership and EIM teamAscensus Information Security Responsible for protecting, securing, and proper handling of all confidential data held by Ascensus to ensure against unauthorized access, improper transmission, and/or unapproved disclosure of information that could result in harm to Ascensus or our clients.Our I-Client service philosophy and our Core Values of People Matter, Quality First and Integrity Always® should be visible in your actions on a day to day basis showing your support of our organizational culture.Experience, Skills, Knowledge RequirementsRequired skills Bachelors degree or equivalent work experienceExcellent analytical skillsExcellent oral and written communication skills including active listening. Asking appropriate questions, clarifying information and writing clear, concise documents.2+ years of Microsoft DBA skills including SSIS, SQL and BCP including experience using recent versions of Microsoft SSIS2+ years of relevant experience in ETL or data analyst role, including data mining and/or ETL developmentExperience with relational databases: Sybase ASE, SQL Server, Oracle, MySQLProven data structure experience or education; its organization, management and storage formatPreferred knowledge, skills and abilities:Retirement or Government Savings domain knowledgeWorking knowledge of all Ascensus data sources; their purpose, structure, definitions and how data is populatedData mining and BI reporting tool usage We are proud to be an equal opportunity employer. Ascensus is a place to have a career, not just a job. As the largest US independent retirement and college savings services provider, we put our focus on people. Our culture is guided by sound principles, is committed to high standards, operates with transparency, and welcomes diversity. When you join our team, you get to go to work every day knowing that you help over 6 million Americans save for retirement and college.Ascensus is an Equal Opportunity Employer and does not discriminate on the basis of race, color, creed, national origin, ancestry, religion, age, citizenship, sex, marital or veteran status, disability or handicap, sexual orientation or any other basis prohibited by applicable law. Ascensus also takes affirmative action to employ, and advance in employment, qualified women, minorities, and covered veterans. Ascensus also makes reasonable accommodations for qualified individuals with disabilities, in accordance with the Americans with Disabilities Act and applicable state laws"
"4","Operations Data Analyst","Frontline Education ","Malvern, PA","Frontline Education is a leading provider of SaaS EdTech solutions for educators and administrators across the United States. Frontline Education serves more than 12,000 educational organizations nationwide. Our Human Capital Management solutions are used in all 50 states and have the largest data set in K12 Human Capital Management. We partner with school districts whose professionals and staff use our premier software solutions daily. In 2015, we were recognized by INC. Magazine as one of the fastest growing private companies in North America.  Are you an analytical person who enjoys data, systems, and an environment of continuous change and ingenuity? Does the prospect of collecting, organizing, analyzing and disseminating large amounts of complex data sound exciting to you? Are you looking for an opportunity that will allow you to make a significant impact on critical decision making at your company?  Our Finance Operations team is currently seeking an Operations Data Analyst for our corporate office in Malvern. This is an exciting opportunity to join a team that can make a direct impact within a fast growth organization.  Reporting to the Manager of Revenue and Billing, the Operations Analyst is responsible for analyzing large and varied sets of data to provide reports to management and the executive level, particularly regarding operations within the Finance department. Other responsibilities include: Develop dashboards within the company’s ERP system, both for operational day-to-day task management, as well as monthly and quarterly reportingUse data to create models that depict trends in the customer base to improve forecasting activitiesUtilize BI tool to combine multiple sets of data and develop comprehensive reporting packages and dashboardsProject-based analyses to improve business processes and enable accurate decision-makingSupport initiatives for data integrity and normalizationCreate best-practice reports based on data mining, analysis, and visualizationEvaluate internal systems for efficiency, problems, and inaccuracies, developing and maintaining protocols for handling, processing, and cleaning data The ideal candidate will have a bachelor’s degree or equivalent experience plus at least 2 years work experience as an Operations Analyst or Data Analyst. We also seek the following: Strong SQL and/or Excel skills with the ability to learn other analytic tools. NetSuite or Power BI experience a plusDriven and self-motivated with strong attention to detail and record keepingAn analytical mind and inclination for problem-solvingAbility to analyze existing tools and databases and provide software solution recommendationsSolid communication skills with internal clients as well as all levels of management with professionalism and enthusiasmAbility to work cross-functionally and collaboratively within the organization and teamAble to prioritize and adapt to change in a rapidly growing and evolving business environment We offer a competitive compensation package including a base salary, target bonus plan, and stellar benefits which includes unlimited PTO. Our company growth has created a promising environment for career advancement and rewarding challenges.  Before you decide if you are ready to make a true impact by joining a world class team that directly influences the education industry, here are a few words about our culture:  At Frontline, we are unique individuals, but we all hold to a set of guiding core values. Ultimately, many of them can be summed up in being trustworthy. We build relationships through open communication, which includes honesty, vulnerability, valuing team input and practicing personal and corporate humility. We lead by serving the best interests of those around us before ourselves (we call this “servant leadership”). At Frontline, we hire the right people and invest in those people through mentoring and professional development. While we work hard, we also always strive to balance family and work. Our values consistently impact those around us, whether it is by providing outstanding customer service or treating those outside the company with respect.  Frontline Education is proud to be a drug free workplace and an Equal Opportunity Employer"
"5","Data Analytics Analyst-Strategic Sourcing Team","Allied Universal ","Conshohocken, PA","Allied Universal is seeking a Strategic Sourcing Analyst to analyze current regional and national companywide commodity programs that will include but are not limited to fleet, real estate, uniforms, equipment, supplies, and logistics. The focus of this position will be on data management and business intelligence. The Analyst will propose program development to Senior Leadership to streamline national process and companywide cost savings. This position will report directly to the Director of Strategic Sourcing Systems and Processes. Key Responsibilities: A high focus will include Strategic Sourcing Dashboarding/Metrics Creation and Maintenance, Data Management, Annual Savings Plan Tracking, Contract Compliance Program Development, Vendor Performance Evaluation Program and identification/development of new discretionary spend sources. Additional responsibilities include creation and maintenance of financial relationship with the Financial Planning, Reporting and Forecasting team and development/tracking of Strategic Sourcing related synergies from company acquisition integrations. The position requires the ability to work closely with multiple levels and disciplines in a highly matrixed environment. Accountable to stay abreast of the latest concepts in procurement savings techniques and obtain most favored nation pricing wherever possible. Ability to create and support value that can be easily tied to improvement in the companys bottom line is highly valued. Strategic Sourcing Dashboard:Identify the best sources of data from internal and external sources to drive resultsManage data sources by working with the Business Intelligence and IT teamsAnalyze trends and areas for category and commodity improvementSupport the Needs of the Strategic Sourcing Department and External Partners:Develop relationships with fellow colleagues in Sourcing to impact high dollar commoditiesCoordinate cross-functional projects by working with the Corporate Training and Development team that have a company wide impactQualifications The ideal candidate will possess a Bachelors degree in Finance, Accounting, Supply Chain Management or a related field plus 2 years of experience. Recent college graduates with internship experience are encouraged to apply: Knowledge of Microsoft Excel and other Finance related softwareGood attention to detail, self-motivated, ability to meet tight deadlines as necessaryAbility to build strong relationships with both internal and external clientsAbility to challenge process optimizationExcellent verbal and written communication skills with the ability to communicate in a timely manner any changes or recommendationsIn-depth understanding of financial performanceAbility to work in a team-orientated management environment while having and entrepreneurial attitudeData Management skillsKnowledge of business intelligence tools such as Domo and Tableau a plusKnowledge of SQL a plus *CB~Corp EOE/Minorities/Females/Vet/Disability Allied Universal is an Equal Opportunity Employer committed to hiring a diverse workforce. Allied Universal will provide qualified individuals with reasonable accommodations pursuant to the Americans with Disabilities Act and/or any other applicable state or local laws. We are committed to hiring veterans and reservists. Since 2013, we have hired over 25,000 heroes."
"6","Data Support Analyst - 1","eMoney Advisor ","Radnor, PA","The primary focus of the Data Support Analyst I representative is to manage and support the day to day data transfer processes with an emphasis on proactive customer service. Data Support is an internal escalation group that assist Client Engagement, Sales, Relationship Management, and Client Engagement Tech Support with connection and integration related issues through inbound calls or emails. ResponsibilitiesInterface with end user clients to help resolve issues and ensure data transfer efficienciesInterface with internal support teams on escalated issues – both customer and operations basedProactively troubleshoot data transfer issues from a global levelAssist in all facets of data transfer implementationsStays up to date on system releases, new features, and bugsMakes outbound calls or WebEx sessions in response to ticket or email requestProvides a second level of support for account aggregationServices about 9000 internal connection tickets a monthKnowledge of both the eMoney application and the Nexus toolRequirementsBachelor’s degree or equivalent work experience required; college degree preferredMinimum of 2 years customer service experience requiredTeam Player with the ability to work independently as neededSkillsExceptional communication skills (both written and verbal)Strong analytical and diagnostic skillsDetailed orientedWorking knowledge of MS Office suiteUnderstanding of CRM systemsKnowledge of project based initiativesStrong interpersonal and verbal/written communication skillsStrong organization skills and excellent time management skillsAdept at data and trend analysis"
"7","Data Analyst Intern - Corporate Planning Department","Philadelphia Gas Works ","Philadelphia, PA","The Philadelphia Gas Works (PGW) is the largest municipally-owned gas utility in the nation, supplying gas service in the City of Philadelphia to over 500,000 customers. From its humble beginnings in 1836, PGW has grown into the large, modern facility that exists today. As one of the nation's leading natural gas providers, PGW prides itself on stability and continual growth. PGW is dedicated to becoming the Greenest Natural Gas Delivery Company in the region. The PGW Internship Program is designed for students currently enrolled FULL-TIME at an accredited college or university with a sophomore classification or above ONLY. If you are not a full-time student, please refer to our other current employment opportunities.This Internship is designed for students that are available to work throughout the academic and calendar year. Gather and analyze data pertaining to: Customer segments and targetingEffectiveness of current organizational structureNational and international marketplaceValue chain, competitive positioning; pricing and promotionProduct delivery and supportGas supply procurement, management, supply sources, and reliabilityInternal capabilities, constraints, and boundaries; opportunities and threatsDevelop tools to help integrate data into day-to-day operational decisions from a variety of sourcesDesign intuitive, automated tools to monitor organizational health and performanceWorking towards a degree in Business Intelligence, Analytics, Computer Science, Business Administration, Finance, Economics, or related fieldKnowledgeable about or willing to learn Excel, SQL, Python, Tableau, JavaScript, and/or OracleResourceful and creative problem solverPassionate about energyExcellent organizational and time management skills; must be able to work independently and take initiative to solve problems and complete tasks as they arisePositive, team-player attitudeMust be in good academic standingMust be able to commit 15-20 hours to the program"
"8","Data Analyst","City of Philadelphia ","Philadelphia, PA","Company DescriptionWith a workforce of over 30,000 people, and opportunities in more than 1,000 different job categories, the City of Philadelphia is the fifth largest city in the United States and one of the largest employers in Southeastern Pennsylvania. As an employer, the City of Philadelphia operates through the guiding principles of service, integrity, respect, accountability, collaboration, diversity and inclusion. Through these principles, we strive to effectively deliver services, to resolve the challenges facing our city, and to make Philadelphia a place where all of our residents have the opportunity to reach their potential. AGENCY DESCRIPTION The Department of Revenue collects over $5 billion dollars from hundreds of thousands of taxpayers to support the School District of Philadelphia and City services and provides over $100 million in tax relief to a quarter million households. The Department of Revenue is seeking a Data and Research Manager to work with the Director of Data Intelligence and the Head of Data and Research.Job DescriptionSalary: $60,000-$70,000 The Data Analyst will work primarily with tax and water customer data from internal City systems and external Federal, State, and third-party sources for the purposes of driving revenue generation, reporting on revenues and receivables, and responding to information requests from both inside and outside parties. The majority of the work is conducted in data warehouse environments using SQL Server tools. Essential Functions:Functions of the Data and Research UnitDevelop analyses and prepare various operational reports on revenues and accounts receivables to relevant stakeholders (internal and external);Respond to information requests from both City agencies and outside partners. This involves utilizing data contained in the Departments data warehouse environments to answer questions about revenues, receivables, and policy issues;Perform location analysis using GIS software;Prepare data extracts, perform file matches and create actionable leads out of data from both internal external sources for tax compliance and enforcement purposes;Set up automated extract, transform and load (ETL) workflows for internal and external data sources that make-up the units Data Warehouse and Case Management (DWCM) environment;Data transformation of various data sources not related to automated ETL workflows;Identify opportunities for business process improvements and automation. Use existing DWCM capabilities or identify new technologies that automate or streamline existing business processes;Design and operationalize predictive models to drive Department actions through implementation of proactive and innovative solutions.Functions of the Data AnalystPrepare reports on revenues and receivables;Prepare responses to information requests;Improve data quality this includes reviewing data sets for data quality issues;Assist with ETL functions;Support Revenue Department staff by providing data-driven solutions to various initiatives and problems. QualificationsQualifications:Bachelors Degree in Information Systems, Computer Science, Statistics or Economics/Finance or Bachelors Degree with relevant experience;Experience with data warehousing and analysis using large data sets.Competencies, Knowledge, Skills and AbilitiesAbility to write queries in SQL Server;Must have a keen interest in public policy;Communication skills (both verbal and written);Ability to recognize poor data quality;Knowledge of basic economic theory, including industry sector classification systems and regional spatial/geographic analysis;Knowledge and experience with GIS software is a plus;Knowledge and experience with R, Python, STATA or various business intelligence platforms is a plus.Additional InformationPlease submit a resume and cover letter with your application.  Successful candidate must be a City of Philadelphia resident within six months of hire.  The City of Philadelphia is an Equal Opportunity employer and does not permit discrimination based on race, ethnicity, color, sex, sexual orientation, gender identity, religion, national origin, ancestry, age, disability, marital status, source of income, familial status, genetic information or domestic or sexual violence victim status. If you believe you were discriminated against, call the Philadelphia Commission on Human Relations at 215-686-4670. For more information, go to: Human Relations Website: http://www.phila.gov/humanrelations/Pages/default.aspx"
"9","Data Analyst, Clinical Trials","Fox Chase Cancer Center ","Philadelphia, PA","Data Analyst, Clinical Trials  The Data Analyst in R&D Alliances will be responsible for completing Clinical Trial budget calendars in our clinical research software system, OnCore. This position will be in the Clinical Research Contracting department, but will collaborate closely with the Clinical Trials Office, Investigators and external Sponsors to assure timely completion of data. Additionally and as needed, the Analyst will assist with negotiation of clinical trial agreements with sponsors. Education Associates Degree (Required)  Bachelors Degree (Preferred)  Experience  3 years experience in a related field (Required)  General experience in the industry or academics (Preferred)  License/Certifications  CPCM - Cert Professional Contract Mgr (Preferred) _"
"10","Data Analyst | Office of Transformation","Christiana Care ","Wilmington, DE","Christiana Care Heath System (CCHS) is looking for a motivated and skilled Data Analyst to work closely and support a portfolio of projects in the Office of Transformation.  The Office of Transformation (OT) is responsible for evaluating and determining how Christiana Care can harness emerging technologies and other innovations to improve the health of those we serve focusing on population health management, exceptional patient/consumer experience and improved system performance.  The Data Analyst of the Office of Transformation will work closely with the OT project managers to define, measure, and communicate value metrics and key performance indicators that connect directly to project outcomes. The projects involve many internal and external stakeholders across many of the functional and service areas in CCHS. The projects will involve cutting edge technologies that are changing the healthcare market. The projects will deliver value through existing process optimization and the creation of new processes and services. PRINCIPAL DUTIES AND RESPONSIBILITIES:Works with OT project managers and stakeholders to define, create, measure and monitor key metrics that drive outcomes.Demonstrates expertise in the use of analytical and statistical tools and techniques (e.g., hypothesis testing, statistical process control, distribution, and control charts) to identify when, where, and how to measure processes and systems and make decisions supported by data.Establishes and performs quality control checks for assigned databases, reports, and dashboards. Remediates issues as they are identified.Works side-by-side with operational units to lead transformational projects without impeding daily operations.Networks with other organizations for best practices and initiates change resulting in reductions in patient harm.Analyzes and presents detailed clinical utilization, financial and other information to support the projects (utilization rates, staffing levels, clinical outcomes, cost, etc.)Enhances the understandings of project/program through interactions with physicians, nurses, administrative staff and other members of the healthcare team.EDUCATION AND EXPERIENCE REQUIREMENTS:Bachelor's Degree required; Master's preferredAt least five (5) years of data analysis experienceLean Six Sigma Green Belt certification preferredExperience with health care applications (e.g. electronic health records, preferably Cerner Millennium solutions) and associated processesExperience with reporting / analytic technologies such as Tableau, PowerBI, Qlikview, Alteryx, SQL (or other databases) Reporting Services, and MinitabExperience or knowledge of the following technologies and standards: HL7, FHIR, CCL, APIs, and web services Wilmington Hospital, Wilmington, Delaware. This 241-bed, 622,100-square-foot facility includes an emergency department and helipad, and is supported by specialized centers for rehabilitation, advanced joint replacement, women's health, pediatrics, behavioral health and memory disorders. This location also offers diagnostic imaging, lab services and an on-site surgicenter. The Wilmington Hospital campus serves as Christiana Care's corporate headquarters and includes the Wilmington Annex, which hosts adolescent health services, an HIV program, a Community Health Access Program and the Wilmington Family Medical Center. Academic medical center, Baltimore area, Best regional hospital, Community-based medicine, Community health, Clinician, Delaware hospital, Delaware's largest health system, Electronic medical records, Epic EMRs, Everest Award-winner, In-patient, Level I Trauma Center, MagnetÂ® designation, Nationally recognized, Outpatient, Philadelphia area, Provider, Surgery center, Teaching hospital, Wellness, Wilmington, Newark, U.S. New & World Report ranking, Expert, Serve, Care, Healthcare, Respectful, Dover, Bear, Middletown, Rehoboth Beach, Bethany Beach, Delmarva Peninsula, New Castle, Elkton, Maryland, Glasgow, Hockessin, Brookside, Smyrna, Pike Creek Valley, Milford, Claymont, Pike Creek, Wilmington Manor, North Star, Seaford, Southeastern Pennsylvania, Southern New Jersey, Vineland, Millville, West Chester, Kennett Square, Swedesboro, Carneys Point, Woodstown, Salem, Elmer, Deptford Township, Washington Township, Pitman, Glassboro, Franklin"
