"","job_title","company_name","job_location","job_description"
"1","Data Analyst","General Dynamics Information Technology ","Silver Spring, MD","Job DescriptionGeneral Dynamics Information Technology – Federal Civilian Division is currently looking for a Data Analyst. The position support our Continuing Education Program and Event Planning Logistical Support contract and it is based in Silver Spring, Maryland. ResponsibilitiesCollects and manages event planning data. Ensures all data is current and accurate.Develops trackers, reports and other necessary tools utilizing Microsoft Excel.Prepares, reviews, and researches technical information for contract deliverables and ensure accuracy of information reported and adherence to standards of quality.Responsible for monitoring and downloading metrics from continuing education provider and Interactive Customer Evaluation systems. Ensure all data is properly quality control checked and disseminated to the team. Update customer metric reports and spreadsheets after data is made available per established timeframes. Upload reports to the SharePoint website and disseminate information to team members as requested.Analyzes and identifies problems and solutions that afford maximum probability for success and effectiveness through data collection, management, and analysis.Prepares analytical findings in a concise and high level manner. Produces clear and concise reports relevant to customer needs for reporting to senior leadership.Develops After Action Reports and/or comprehensive evaluation reports within established timeframes.Follows best practices as they relate to virtual learning events and collecting metrics.Reviews and provides analysis of survey responses to aid in the development of educational content topics for upcoming events.Identifies areas for process improvement in current practices and suggests ways to apply these changes.Provides technical and administrative support to project management and team members on assigned tasks.Attends meetings with centers to determine data collection and reporting needs and provide specific reports based on their criteria. Back briefs customer and team members when necessary through detailed meeting minutes.Maintains current knowledge of the events schedule and assists in the preparation of event specific task lists for individual events in collaboration with each functional area.May provide guidance and work leadership to less-experienced analysts. Keeps team informed of Government customer’s actions, expectations, and schedules.Participates in special projects as required and remains flexible as priorities and tasks tend to shift quickly. Must be able to move from priority to priority per the PM to best support the customer and team in the current state.Serves as liaison between customer and CE provider to determine the most effective methods for reporting event demographics and CEs provided.Local travel required for some events. EducationMaster’s Degree in Statistics, Economics, Public Health, Epidemiology or related field.5-8 years of related experience in scientific, customer-specific research and analysis.Experience working with the military and federal government preferred.Experience working with learning management system. QualificationsComprehensive knowledge of the principles, methods, equipment/systems and techniques used in scientific functional area(s).Expertise with commercial software products such as Microsoft Office Suite, specifically Access, Excel, PowerPoint and Word, SQL Server, etc. for the use of creating reports and products.Must possess effective listening, verbal and written communication skills.Demonstrated experience and ability to apply multiple organizational and management improvement techniques within government environments.Flexible team member who thrives in environments requiring ability to effectively prioritize, multitask, and judge concurrent projects in a demanding, fast-paced work environment.Strong analytical and organizational skills; must be detail oriented. Adept at gathering requirements with ability to adapt to changes in requirementsShows initiative and ability to work independently and as a team using problem solving skills.Ability to build rapport and trusting relationships with customer and team members As a trusted systems integrator for more than 50 years, General Dynamics Information Technology provides information technology (IT), systems engineering, professional services and simulation and training to customers in the defense, federal civilian government, health, homeland security, intelligence, state and local government and commercial sectors. With approximately 32,000 professionals worldwide, the company delivers IT enterprise solutions, manages large-scale, mission-critical IT programs and provides mission support services. GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class  #HCSDCJ  #DICE"
"2","Data Analyst","Emergency Medicine Associates ","Germantown, MD","Job Summary:Analyzes billing and coding data and creates high-level reports to identify trends for senior management upon request.Duties and Responsibilities:Collects, compiles, manages and analyzes data as it is available and obtainable that relates to the various programs within the Revenue Cycle Management, Coding, Billing, and Clinical Documentation Integrity divisions of the practice.Data can include but is not limited to:Coding Metrics and DistributionsFeedback TrendsPayor TrendsOther Data and Metrics as applicableDevelops and maintains monthly reporting tools that reflect the progress of efforts and trends, and provides and/or presents feedback to senior management.Participates in special projects to enhance business process efficiency and effectiveness.Works with Alteon IT leadership to bring the RCM divisions data needs in line with overall practice goals.Knowledge, Skills & Abilities:Ability to speak, write, and read English fluently; ability to communicate clearly and effectively both orally and in writing.Proactive approach to identifying and solving problems in your areas of responsibilities.Accurate, detail oriented, well organized and able to multitask.Ability to communicate thoughts clearly, to file accurately, and to retain information.Must be able to work effectively both independently and with others.Follows all compliance plan standards and department policies and procedures.Must have proficient computer skills and be fluent in Excel, Access, SQL, and have the ability to work with multiple coding & billing-related software products.Education & Experience:The above knowledge, skills, and abilities may be demonstrated by an individual with a Bachelor’s degree in Data Analytics, Statistics, IT, Business, or a related field. Advanced knowledge of Microsoft Excel required; database management and statistical knowledge base preferred."
"3","Intelligence Analyst","Boeing Intelligence & Analytics ","Washington, DC","Boeing Intelligence & Analytics (BI&A) is a leading provider of strategic capabilities to the United States Intelligence Community. We help Customers identify and develop strategies to counter the strengths and exploit the vulnerabilities of potential adversaries. We provide technical expertise across the entire mission spectrum from requirements definition and system and software development to system integration, test and deployment. BI&A maintains top-tier technical talent and industry expertise in software engineering, systems integration and development, rapid prototyping, and project leadership. We pride ourselves on the proven ability to support our Customers while understanding the importance of work – life balance. Intelligence Analyst Location: DC - Washington Job Code: 4375 # of Openings: 5 Division Overview: For over 8 years, we have provided support to our Intelligence Community (IC) Customers in applying the TAC tool to their intelligence requirements. Our Customers are threat-based and intelligence-driven organizations. The missions typically include areas such as counter-intelligence; upholding and enforcing the criminal laws of the United States; providing intelligence support for homeland security; cyber intelligence and operations; and intelligence related activities for protecting national assets.  Clearance Requirements: Clearance: TS/SCI DescriptionIntelligence Analyst – Top Secret SCIBoeing Intelligence & Analytics (""BI&A""), a subsidiary to The Boeing Company, is seeking a Intelligence Analyst to join their high-caliber team.Job Description:Assists Intelligence Community customers in using the Defense Intelligence Agency (DIA) TAC data discovery system to support their intelligence requirements by:* Working closely with the customer on developing information requests and expressing them as queries and grids to support the customers ’ day to day operations* Providing desk-side assistance by analyzing case-specific data and recommending queries and analytic grid frameworks to persistently monitor the essential elements of interest to customers* Building search queries, grid sets to support case teams when requested* Providing training on use of the system for customer personnel in settings such as classrooms, desk-side assistance, collaboration using web tools, or telephone support. * Conducting content administration/query quality control of the analytic query database* Administering customer use accounts for the TAC system* Assisting the Boeing program manager in preparation of formal reports* Collaborating with Boeing analysts on similar contracts as well as customer program managers to ensure clear lines of communications and expectations.* Traveling to customer CONUS and OCONUS sites to provide training or TAC user support on-site at field locations. TDY requirements are estimated up to 20%.Education:Bachelors Degree or the equivalent combination of education, professional training or work experience.Qualifications:At least six (6) years of experience in an intelligence discipline or related environment (e.g. all source analysis, full motion video (FMV) analysis, human intelligence (HUMINT), signals intelligence (SIGINT), imagery intelligence (IMINT), measurement and signatures intelligence (MASINT), open-source intelligence (OSINT), geospatial intelligence (GEOINT))Key Role:The Intelligence Analyst supports the customer mission by assisting with creation of queries and grids, creating queries and grids as requested, providing training on the use of the TAC system, and assisting with administration of user accounts on the system.Required Skills:* Proficiency in the analytic employment of computer-based analysis or query tools in an intelligence setting* Experience in providing training on the use of analytic tools in environments such as classrooms, small group or desk-side analytic mentor training sessions, through use of on-line collaboration tools, or telephonically.Desired Skills:* Experience using the TAC tool or as a TAC Systems Specialist* Experience using intelligence analysis or research tools such as Palantir, Analyst Notebook, Multi-media Message Manager (M3), Distributed Common Ground System (DCGS), Modernized Integrated Database (MIDB), Combined Information Data Network Exchange (CIDNE), Terrorist Identities Datamart Environment (TIDE), PRISM, Intelink / Intellipedia, CIAWire, NSANet * Working knowledge of all source analysis as applied to analytic problem sets.* Self-starter and team builder with excellent communication, leadership and organizational skills.* Ability to keep accurate and up to date administrative records.* Ability to project and log long term training requirements and schedules* Ability to represent the Company to clients, and to shape and advocate for client requirements.Clearance:Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information and submit to a polygraph; TS/SCI clearance is required. Boeing Intelligence & Analytics is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or other characteristics protected by law.EEO Is the Law Back to Search Results Are you a returning applicant? Previous Applicants:  Email:  Password:  If you do not remember your password click here. Back to Search Results New Search"
"4","Data Scientist & Business Analyst","Intersections Inc ","Chantilly, VA","A division of Intersections Inc., Identity Guard is a leading provider of identity risk management, privacy protection and other subscription based services for consumers. Our core services monitor personal information for our consumers, aggregate it into digestible, consumer-friendly reports and alerts, and provide personalized education and support to help our customers understand their information and take the actions they deem appropriate. Since its business was founded in 1996, Intersections has helped protect the identities of more than 47 million consumers.  Do you love data, solving problems, and predicting the future? Do you know more math than a programmer and more about programming than a mathematician? Are you interested in using data to answer hard questions and generate value in a competitive market sector? We need someone who can do just that.  As a Data Scientist and Business Analyst you will be responsible for supporting multiple aspects of the development and implementation of products for personal privacy protection. In the Data Scientist portion of this role, you will regularly collaborate with both technical and business resources to apply data science to ensure product quality. The Business Analyst part will allow you to also evaluate the customer value of products and services and ensure user experience expectations are being met. The ideal candidate is a motivated self-starter who thrives on using data to answer difficult questions, is not afraid to wear many hats, and can take on additional responsibilities as business needs dictate. Evaluate new data sources, assessing the quality and value of data attributes. Perform exploratory data analysis to verify such value.Work with the technical team to develop methods for integrating available data into new or existing products.Design, develop, and maintain consumer- and business-facing predictive models.Analyze the impact new data sources will have on product quality; periodically assess the quality and impact of continuing to use existing sources.Define requirements as user stories and acceptance criteria for integrating new data into predictive models.Support and troubleshoot customer-facing user experience and back office production issues.Keep up on recent news impacting consumer data to provide better recommendations for customer needs.Collaborate with developers and operations to transition business process ownership and support to other departments, allowing Product Development team to focus on continuously improving product offerings.Actively participate in all aspects of Agile/Scrum practices including daily standups, design sessions, grooming and sprint planning sessions, sprint reviews and retrospectives.Create documentation as needed for new or updated processes.Bachelor's degree in Computer Science, Economics, Physics, Mathematics, Statistics or related quantitative discipline required1-3 years of experience in a statistics, data analysis, or data science roleExceptional quantitative background demonstrated through academic and professional credentialsHigh degree of analytical and technical aptitude with well-developed problem solving skills is a mustSome experience with programming or scripting languages (Java, C, C++, Ruby, Perl, Python, Matlab, R, cURL, etc.) is highly desirableBasic familiarity with machine learning techniques and algorithm design is desirableFamiliarity with relational database concepts and ability to write SQL queries (e.g. MySQL Workbench)Experience working with Agile/Scrum methodologies and the Atlassian product suite (Jira, Confluence, Bitbucket, Bamboo, etc.) preferred, but not required Intersections and its subsidiaries participate in E-Verify. Click here to learn more about this program. EOE M/F/D/V"
"5","Business Analyst, Associate","EAB ","Washington, DC","About EAB  EAB is an education best practices firm that uses a combination of research, technology, and services to improve the performance of 1,200+ educational institutions. Headquartered in Washington, D.C., EAB forges and finds the best new ideas and proven practices from its network of thousands of leaders, then customizes and hardwires them into every level of member organizations, creating enduring value.  At EAB, we serve not only our members but each other—that's why we are always working to make sure our employees love their jobs and are invested in their community. See how we've been recognized for this dedication to our employees by checking out our recent awards.  For more information, visit our Careers page.  The Role in Brief Business Analyst, Associate The Business Analyst manages a pool of clients through the technical implementation of the technology's web based platform. The Business Analyst manages the client relationship, sets and executes against project milestones, and manages the quality, client satisfaction and engagement throughout the implementation lifecycle. The Business Analyst is also responsible for contributing to the team's process improvement efforts, and finding innovative ways to make positive impacts to the business.  This role is based in Washington, DC.  Primary Responsibilities:  - Effectively manage technical projects for a portfolio of clients Design and lead implementation strategy based on institutional structure and data availabilityPartner with clients technical staff, to extract and validate dataAssist team in improving process, and developing scalable solutionsAnalyze client data for validity, identify trends and statistical significanceMaster the functionality of the Student Success platform and develop expertise in industry/product terrainFoster executive level relationships within the institutionFacilitate phone calls and in person presentations with client Basic Qualifications:  - Bachelors Degree 1 year of continuous work experienceValid Drivers LicenseWillingness to travel up to 30% domesticallyAttention to detailService orientationAbility to work in a collaborative environmentStrong communication skillsDemonstrable analytical reasoning and problem solving abilityTime management skills  Ideal Qualifications:- Relevant project management experienceExperience working with analytic tools (Excel, SQL, UNIX)Client management experience- Demonstrates personal responsibility and assertiveness  Benefits  Consistent with our belief that our employees are our most valuable resource, EAB offers a competitive benefits package.Medical, dental, and vision insurance, dependents eligible401(k) retirement plan with company matchGenerous PTODaytime leave policy for community service or fitness activities (up to 10 hours a month each)Wellness programs including gym discounts and incentives to promote healthy livingDynamic growth opportunities with merit-based promotion philosophyBenefits kick in day one, see the full details here."
"6","Membership Data Specialist","WEF ","Alexandria, VA","The Water Environment Federation is seeking a Data Specialist to join its Membership team. This position will be responsible for ensuring WEF’s membership data and reports have integrity and validity; responsible for running reports to help validate data and assisting with monthly cleanup processes; assisting with the creation of membership reports and queries for WEF membership projects, dues, and renewals; responsible for ensuring data accuracy, identifying and resolving critical barriers and issues with membership data; providing overall AMS-related project support to the WEF Membership Department; providing WEF’s local member associations with required queries and monthly reports; and assisting with troubleshooting, as necessary.Principal Functions:Generates weekly and monthly reports to help the Sr. Director and Sr. Manager track membership recruitment and retention progress.Performs regular quality control reviews on membership data to assure the maintenance of high-quality data; corrects data (as necessary) in the AMS.Maintain database integrity through regular audits of membership data entered by external customer service vendor, which includes conducting weekly quality assurance on the database. Includes, but is not limited to, reviewing new membership records created, address updates, contact entry, etc.Assists with monthly renewal billing for membership.Responsible for inputting of market codes and data for membership recruitment campaigns.Generates and delivers accurate AMS reports and list requests for membership recruitment, retention, and reinstatement campaigns.Works collaboratively with Membership and Information Technology teams to prepare and update standard operating procedures (SOPs) involving membership data processes.Distributes monthly e-mail renewal reminders to expiring members.Generates, reviews and reconciles assigned standard month-end reports accurately and distribute to appropriate team members or member associations.Manages weekly exception reports to flag data anomalies to ensure accurate data entry and online processing for member data and payments.Assists the Senior Manager of Membership with annual Exhibitor renewal process to include generation of invoices and mailing list.Works with Senior Director of Membership & Customer Relations on the annual dues renewal process to include generating data for dues report, updating dues amount in AMS, contacting MA’s with missing dues information and performing data input quality checks.Proactively make recommendations and suggestions to Senior Director, Membership & Customer Relations on member data process improvements and additional reporting recommendations.Provides support for other membership data-related tasks, as necessary.Qualifications: Associate or bachelor’s degree in business or related field.Minimum 2-4 years’ experience in a membership association or similar organization managing chapters or affiliates is required.Experience in the preparation and fulfillment of data reports required.Experience and understanding of reconciling chapter or affiliate dues desirable.Experience with Aptify, Personify, iMIS or NetForum Enterprise AMS preferred.Strong ability to synthesize and analyze information.Demonstrated ability to develop good relationships with members and co-workers. Must be comfortable working within a highly, collaborative team.Robust attention to detail and excellent problem-solving skills.Strong attention to detail and accuracy of information, including the ability to organize and analyze large amounts of data.Excellent customer-service ethic and responsiveness.Ability to work collaboratively in formal teams and informal working groups, as well as independently.Ability to work well under pressure, determine priorities, and produce results.Excellent organizational skills. Must be detail-oriented and strong multi-tasking ability, often with tight and/or changing deadlines.Solid skills in Microsoft Office applications, including Excel, Word, Outlook and other productivity tools.Strong written and oral communication skills and able to present information persuasively to different audiences.Must demonstrate accuracy and seek to improve/promote quality in the organization while exhibiting objectivity and openness to others’ views.This person will work primarily in an office environment using standard office equipment. Please submit cover letter and salary requirements to WEFrecruitment@wef.orgWEF is an equal opportunity employer"
"7","Data Integration Analyst","EAB ","Washington, DC","About EAB  EAB is an education best practices firm that uses a combination of research, technology, and services to improve the performance of 1,200+ educational institutions. Headquartered in Washington, D.C., EAB forges and finds the best new ideas and proven practices from its network of thousands of leaders, then customizes and hardwires them into every level of member organizations, creating enduring value.  At EAB, we serve not only our members but each other—that's why we are always working to make sure our employees love their jobs and are invested in their community. See how we've been recognized for this dedication to our employees by checking out our recent awards.  For more information, visit our Careers page. Data Integration Analyst (Full Time, Starting Summer 2019) Their primary responsibility is to develop and deploy data integration and configuration procedures between client IT systems and EAB technology. In addition, they work collectively with other EAB project and product development staff to manage client relationship, set and execute against project milestones, and manage quality, client satisfaction, and engagement throughout the implementation life-cycle.  Opportunities based in Washington, D.C. and Richmond, VA. Primary Responsibilities:Conceptualize, develop and deploy data extraction procedures working collaboratively with clientsDevelop recommendations for internal leadership around preferred data integration methodologiesEnsure barriers to timely completion of Data Integration Services projects are anticipated and overcomeWork effectively with internal and external project managers to ensure timely delivery of implementationEncapsulate findings through new product integration exercises for the overall benefit of EAB data integration effortBuild and foster strong relationships with all levels of technical and non-technical staff at client institutionsProactively identifies, recognizes, and acts on opportunities for improvement in order to advance business goals. Confronts problems, change, and/or challenges quickly and enthusiasticallyBasic Qualifications:Education: Bachelor’s degreeExperience extracting data from a variety of platforms, performing data mapping, data transformation, and loading data to the target systemFluency in SQL skillsExperience managing multiple clients/projects/stakeholders simultaneouslyDemonstrated experience serving as a project owner including managing communication progress to stakeholders, risk identification and mitigation and facilitating problem solvingProven ability to communicate ideas and obtain buy-inValid Driver’s LicenseWillingness to travel up to 15% domesticallyIdeal Qualifications:Client facing experience implementing software solutionsExperience with Python and API preferredBenefits: Consistent with our belief that our employees are our most valuable resource, EAB offers a competitive benefits package: Medical, dental, and vision insurance, dependents eligible401(k) retirement plan with company matchGenerous PTODaytime leave policy for community service or fitness activities (up to 10 hours a month each)Wellness programs including gym discounts and incentives to promote healthy livingDynamic growth opportunities with merit-based promotion philosophyBenefits kick in day one, see the full details here. At EAB, we believe that to fulfill our mission to “make education smarter and our communities stronger” we need team members who bring a diversity of perspectives to the table and a workplace where each team member is valued, respected and heard.  To that end, EAB is an Equal Opportunity Employer, and we make employment decisions on the basis of qualifications, merit and business need. We don’t discriminate on the basis of race, religion, color, sex, gender identity or expression, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law."
"8","Data Analyst","Municipal Securities Rulemaking Board ","Washington, DC","Data Analyst Location  Washington, DC # of openings 1Apply Now Job SummaryData Analyst (Oracle) The Municipal Securities Rulemaking Board (MSRB) seeks a Data Analyst to support the organization’s Meta Data repository and data quality program and prepare ad-hoc and standing requests from internal and external stakeholders. The Data Analyst will research, document, monitor and report data and escalate data anomalies as they arise.Responsibilities:  Working with stakeholders to understand and develop requests and tracking status of requests Writing complex SQL and PL/SQL queries to extract results for a wide variety of data requests Documenting approaches used to retrieve and manipulate data Creating polished reports for stakeholders Conducting presentations on analysis results Qualifications: All applicants should be legally eligible to work in the U.S. without current or future employer sponsorshipBachelor’s degree in business systems, computing or related field.A minimum of two years of enterprise-level experience in SQL languages. Enterprise-level PL/SQL skills are preferred.A strong technical knowledge and skills in Databases – particularly Oracle 11g with Stored Procedure development capabilities. Experience with 12c is a plus.Experience developing appropriate methodology for collecting, analyzing and presenting results.Experience writing sophisticated queries to extract complex datasets from Oracle and MS Access databases.Experience designing, creating and populating ad-hoc Oracle databases from a variety of sources. Skills: Ability to interpret front-end issues into SQL scripts for further investigation and problem-solvingAbility to conduct data quality testingProficiency in performance tuningStrong written and oral communication skillsAbility to collect, analyze and present data to various audiencesAttention to detail, active listening skills, follow-up, and ownership of responsibilities are essential"
"9","Research Analyst, Regulatory","Bloomberg BNA ","Arlington, VA","Full timePOSITION OVERVIEW:  Bloomberg BNA provides legal, tax and compliance professionals with critical information, practical guidance and workflow solutions. We leverage leading technology and a global network of experts to deliver a unique combination of news and authoritative analysis, comprehensive research solutions, innovative practice tools, and proprietary business data and analytics. Bloomberg BNA is an affiliate of Bloomberg L.P., the global business, financial information and news leader.  Bloomberg BNA seeks a Research Analyst, Regulatory to monitor and write summaries of federal and state regulatory developments and conduct basic custom research and write reports for BBNA customers. Perform other custom research and regulatory monitoring duties as needed. RESPONSIBILITIES: Review and summarize federal and state regulatory developments on environment and safety, tax, health care, securities, banking, and labor and employment issues and enter into database.Research, write and prepare custom reports for BBNA customers on topics including HR, payroll, environment and safety, and health care.Communicate with Bloomberg BNA customers over the telephone and by email.Contact outside information sources to ensure completeness and accuracy of internal databases.Research and prepare white papers on assigned topics.Participate in special projects; and perform other duties as assigned.REQUIREMENTS:  2+ years’ experience in research and writing comprehensive reports and summary documents; experience summarizing legislative and regulatory developments desired; ability to identify, understand, and summarize complex information from a variety of sources; excellent verbal and written communication skills, including excellent command of English grammar, spelling, punctuation, and syntax; ability to work quickly, accurately, and efficiently in an atmosphere of shifting priorities; ability to respond to constructive criticism and incorporate suggestions; work effectively as a member of a team, including helping others as needed; ability to deal with internal and external customers in a professional manner; excellent organizational skills; ability to work independently; ability to conduct research with guidance from supervisor or higher-level analyst; experience using database software and/or desktop publishing systems desired; basic knowledge of federal and state regulatory processes; knowledge of relevant subjects, including securities, banking, environment and safety, health care, labor relations, employment, HR, payroll, and tax desired; basic proofreading skills; and accurate keyboarding skills. Candidates may be required to pass a test for this position. Bloomberg BNA is an affiliate of Bloomberg L.P., the global business, financial information and news leader. Its network of more than 2,500 reporters, correspondents, and leading practitioners delivers expert analysis, news, practice tools, and guidance — the information that matters most to professionals. Bloomberg BNA’s authoritative coverage spans the full range of legal practice areas, including tax & accounting, labor & employment, intellectual property, banking & securities, employee benefits, health care, privacy & security, human resources, and environment, health & safety.  Bloomberg BNA offers a comprehensive benefits package including tuition reimbursement, domestic partner benefits, transportation subsidies, annual and sick leave, parenting leave, 401(k), and much more.  Bloomberg BNA IS AN EQUAL OPPORTUNITY EMPLOYER and fully subscribes to the principles of Equal Employment Opportunity. Bloomberg BNA has adopted an Affirmative Action Program to ensure that all applicants and employees are considered for hire, promotion, and job status without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, marital or familial status, genetic information, disabled veteran, veteran, veteran of the Vietnam Era, or any other classification protected by law.  Bloomberg BNA IS AN EQUAL OPPORTUNITY EMPLOYER and fully subscribes to the principles of Equal Employment Opportunity. Bloomberg BNA has adopted an Affirmative Action Program to ensure that all applicants and employees are considered for hire, promotion, and job status without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, marital or familial status, genetic information, disabled veteran, veteran, veteran of the Vietnam Era, or any other classification protected by law.Apply Now!"
"10","BI Analyst","EAB ","Washington, DC","About EAB  EAB is an education best practices firm that uses a combination of research, technology, and services to improve the performance of 1,200+ educational institutions. Headquartered in Washington, D.C., EAB forges and finds the best new ideas and proven practices from its network of thousands of leaders, then customizes and hardwires them into every level of member organizations, creating enduring value.  At EAB, we serve not only our members but each other—that's why we are always working to make sure our employees love their jobs and are invested in their community. See how we've been recognized for this dedication to our employees by checking out our recent awards.  For more information, visit our Careers page.  The Role in Brief BI Analyst (Full Time, Starting Summer 2019) This role is based in Washington, D.C.  Are you a technical problem solver who thrives at figuring out how to best utilize disparate data and turn reports into actionable advice? Can you operate in a fast paced entrepreneurial environment interfacing with multiple stakeholders to lead the development of a product from vision to market?  We are looking for a BI Analyst to join EAB’s Analytics Development team. The successful candidate will have the opportunity to build world-class business intelligence solutions to help our higher education clients better understand and utilize data to improve student outcomes. The critical responsibility of this role is the end-to-end development and maintenance of highly visual and interactive reports and dashboards as part of EAB’s analytics technology solutions. Primary Responsibilities:Design, build, test, deploy and maintain interactive analytic products and features using designated Business Intelligence solutionParticipate in development of data processing flows including data cleansing and data transformationInvestigate and report on complex data interactions to facilitate data research in support of analytics development effortsPartner with product managers and other BI analysts and engineers to define product feature requirementsProvide production-level support and troubleshooting for clients and customer-facing teams, serving as the subject matter expertTriage incoming issues and enhancement requests from customers and internal stakeholdersDefine and document processes, best practices, and strategies for existing and future analytic solutionsProduce customer-facing user guides, support and training documentationBasic Qualifications:Bachelor’s DegreeOutstanding problem solving, quantitative and analytical reasoning skillsExperience creating data visualizations to summarize quantitative informationFamiliar with relational database conceptsStrong written and verbal communication skillsDemonstrated ability to manage projects independently while meeting deadlinesIdeal Qualifications:Experience working with large volumes of dataExperience using SQL to cleanse or transform dataExperience with data modeling and database designHands-on experience developing ETL pipelines or SQL-based data cleansingHands-on experience working with Business Intelligence product such as Tableau, Business Objects, or GoodDataAbility to communicate technical information to technical and non-technical audiencesBenefits: Consistent with our belief that our employees are our most valuable resource, EAB offers a competitive benefits package: Medical, dental, and vision insurance, dependents eligible401(k) retirement plan with company matchGenerous PTODaytime leave policy for community service or fitness activities (up to 10 hours a month each)Wellness programs including gym discounts and incentives to promote healthy livingDynamic growth opportunities with merit-based promotion philosophyBenefits kick in day one, see the full details here. At EAB, we believe that to fulfill our mission to “make education smarter and our communities stronger” we need team members who bring a diversity of perspectives to the table and a workplace where each team member is valued, respected and heard.  To that end, EAB is an Equal Opportunity Employer, and we make employment decisions on the basis of qualifications, merit and business need. We don’t discriminate on the basis of race, religion, color, sex, gender identity or expression, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law."
